[26-Mar-2019 14:06:41 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updatepref.php on line 3
[26-Mar-2019 14:06:50 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updatepref.php on line 3
[26-Mar-2019 14:07:09 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:14:05 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:14:50 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:15:20 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:15:46 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:16:14 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:17:22 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:47:22 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:47:30 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:47:47 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:48:51 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[26-Mar-2019 14:48:56 America/New_York] PHP Deprecated:  Function AMQPQueue::declare() is deprecated in /var/www/poundperday/rabbitMQLib.inc on line 215
[26-Mar-2019 14:49:06 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updateprofile.php on line 3
[26-Mar-2019 14:49:19 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updatepref.php on line 3
[26-Mar-2019 14:49:29 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/food.php on line 3
[26-Mar-2019 14:49:33 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:49:46 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updateprofile.php on line 3
[26-Mar-2019 14:51:05 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:51:36 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
[26-Mar-2019 14:51:47 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updateprofile.php on line 3
[26-Mar-2019 14:51:50 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/updatepref.php on line 3
[26-Mar-2019 14:52:02 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/food.php on line 3
[26-Mar-2019 14:52:05 America/New_York] PHP Notice:  session_start(): A session had already been started - ignoring in /var/www/poundperday/yelp.php on line 3
